dialogue_id,session,category,turn_id,turn_index,speaker,content,start_time,end_time,duration,primary_emotion_label,valence,arousal,dominance,valence_std,arousal_std,dominance_std,avg_vad_std,num_vad_annotators,annotator_valences,annotator_arousals,annotator_dominances
Ses01F_impro01,01,improvis,Ses01F_impro01_F000,0,F,Excuse me.,6.2901,8.2357,1.9456,Neutral,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 3]","[2, 3, 2]","[2, 3, 1]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M000,1,M,Do you have your forms?,7.5712,10.475,2.9038,Frustration,2.5,2.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 2]","[2, 2, 2]","[2, 3, 2]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F001,2,F,Yeah.,10.01,11.3925,1.3825,Neutral,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 2]","[2, 3, 3]","[2, 3, 2]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M001,3,M,Let me see them.,10.9266,14.6649,3.7383,Frustration,2.5,2.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 2]","[2, 2, 2]","[2, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F002,4,F,Is there a problem?,14.8872,18.0175,3.1303,Neutral,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 3]","[2, 3, 3]","[2, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M002,5,M,Who told you to get in this line?,16.8352,19.7175,2.8823,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F003,6,F,You did.,19.29,20.7875,1.4975,Unknown,2.5,3.0,3.0,0.7071,0.0,0.0,0.2357,3,"[3, 2, 2]","[3, 3, 3]","[3, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F004,7,F,You were standing at the beginning and you directed me.,21.3257,24.74,3.4143,Unknown,2.5,3.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 3]","[3, 3, 4]","[2, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M003,8,M,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,23.47,28.03,4.56,Frustration,2.5,3.5,3.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 2]","[3, 4, 3]","[3, 4, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F005,9,F,Well what's the problem?  Let me change it.,27.46,31.49,4.03,Neutral,2.5,3.5,2.0,0.7071,0.7071,0.0,0.4714,3,"[3, 2, 3]","[3, 4, 3]","[2, 2, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M004,10,M,This form is a Z.X.four.,28.395,31.2117,2.8167,Frustration,2.0,4.0,3.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 2]","[3, 5, 3]","[3, 4, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M005,11,M,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",31.266,39.3875,8.1215,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F006,12,F,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,38.965,43.59,4.625,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M006,13,M,No. I need another set of ID to prove this is actually you.,41.23,46.98,5.75,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F007,14,F,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,46.58,52.19,5.61,Frustration,2.5,3.5,3.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M007,15,M,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,51.4,57.64,6.24,Frustration,2.5,3.5,3.0,0.7071,0.7071,1.4142,0.9428,3,"[3, 2, 2]","[3, 4, 3]","[2, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F008,16,F,I'm here to get an ID.,56.16,58.8225,2.6625,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M008,17,M,"No.  I need another ID, a separate one.",58.18,62.59,4.41,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F009,18,F,Like what?  Like a birth certificate?,61.87,65.97,4.1,Frustration,2.0,3.5,3.0,0.0,0.7071,1.4142,0.7071,3,"[2, 2, 3]","[3, 4, 3]","[2, 4, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M009,19,M,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",65.51,73.0,7.49,Frustration,2.5,3.5,4.0,0.7071,0.7071,1.4142,0.9428,3,"[3, 2, 2]","[3, 4, 4]","[3, 5, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F010,20,F,Who the hell has a birth certificate?,66.42,69.34,2.92,Unknown,1.5,3.5,3.5,0.7071,0.7071,0.7071,0.7071,3,"[2, 1, 3]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F011,21,F,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",72.45,82.26,9.81,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M010,22,M,"Yeah.  We keep it on file, but we need an ID to access that file.",81.59,86.03,4.44,Frustration,2.0,4.5,4.0,0.0,0.7071,1.4142,0.7071,3,"[2, 2, 2]","[4, 5, 4]","[3, 5, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F012,23,F,That's out of control.,85.27,88.02,2.75,Anger,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M011,24,M,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,87.15,94.39,7.24,Anger,2.0,4.0,4.0,1.4142,1.4142,1.4142,1.4142,3,"[3, 1, 2]","[3, 5, 3]","[3, 5, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F013,25,F,How long have you been working here?,93.67,97.0218,3.3518,Frustration,2.0,4.0,3.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 3]","[3, 5, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M012,26,M,Actually too long.,95.86,98.68,2.82,Unknown,3.0,1.5,2.0,0.0,0.7071,1.4142,0.7071,3,"[3, 3, 2]","[1, 2, 3]","[1, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F014,27,F,"Clearly.  You know, do you have like a supervisor or something?",97.89,102.96,5.07,Neutral,2.5,3.5,3.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M013,28,M,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,101.84,107.87,6.03,Anger,2.0,4.5,4.5,1.4142,0.7071,0.7071,0.9428,3,"[3, 1, 1]","[4, 5, 4]","[4, 5, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F015,29,F,That would - I would appreciate that.  Yeah.,103.97,106.71,2.74,Frustration,2.0,3.5,3.0,1.4142,0.7071,0.0,0.7071,3,"[3, 1, 2]","[3, 4, 4]","[3, 3, 5]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F000,0,F,Did you get the mail? So you saw my letter?,7.2688,16.6,9.3312,Sadness,2.5,2.0,1.5,0.7071,1.4142,0.7071,0.9428,3,"[3, 2, 3]","[1, 3, 3]","[1, 2, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M000,1,M,It's not fair.,17.6,20.6264,3.0264,Unknown,2.0,2.5,2.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[2, 3, 3]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F001,2,F,Yeah.  I know.,19.85,22.78,2.93,Sadness,2.0,1.5,1.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 3]","[1, 2, 2]","[1, 2, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M001,3,M,"I don't understand.  You've already done so much, I don't know why do you have to go back.",21.76,27.5558,5.7958,Sadness,2.0,2.5,2.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[2, 3, 3]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F002,4,F,I don't know.  I put in that. request too. They didn't...,26.5659,32.2895,5.7236,Sadness,2.0,1.5,1.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[1, 2, 2]","[1, 2, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F003,5,F,"I guess, you know, everybody has to make sacrifices.",32.3075,37.96,5.6525,Neutral,2.0,2.0,2.0,0.0,1.4142,0.0,0.4714,3,"[2, 2, 2]","[1, 3, 3]","[2, 2, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M002,6,M,"I don't know, it's just not fair.  I think you've already made your sacrifice.",38.85,45.09,6.24,Unknown,2.5,3.0,2.5,0.7071,1.4142,0.7071,0.9428,3,"[3, 2, 1]","[2, 4, 2]","[2, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F004,7,F,"There's people that have given more though, you know?",47.34,53.11,5.77,Sadness,2.5,2.0,2.5,0.7071,1.4142,0.7071,0.9428,3,"[3, 2, 2]","[1, 3, 3]","[2, 3, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M003,8,M,I just don't see how they can make you leave when you have a new baby - we have a new kid.,52.71,59.0534,6.3434,Frustration,2.0,3.0,3.0,0.0,1.4142,0.0,0.4714,3,"[2, 2, 2]","[2, 4, 3]","[3, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F005,9,F,I know.,58.75,61.31,2.56,Sadness,2.0,2.0,2.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 2]","[1, 3, 3]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M004,10,M,Then why is that fair?  Why--,61.75,65.055,3.305,Unknown,2.0,3.0,2.0,0.0,1.4142,1.4142,0.9428,3,"[2, 2, 2]","[2, 4, 2]","[1, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F006,11,F,"There's babies over there, though, that need mothers.",64.255,68.47,4.215,Neutral,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 3]","[2, 3, 3]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M005,12,M,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,69.34,74.29,4.95,Sadness,2.0,3.0,1.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 2]","[2, 4, 3]","[1, 2, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F007,13,F,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",72.39,78.57,6.18,Unknown,2.0,3.5,3.0,0.0,0.7071,1.4142,0.7071,3,"[2, 2, 2]","[3, 4, 4]","[2, 4, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M006,14,M,I'm just trying to think of another way.  I'm just trying to...,80.03,86.99,6.96,Unknown,2.0,3.0,1.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 1]","[2, 4, 2]","[1, 2, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F008,15,F,"Just, you know, kicking myself.",87.2031,91.09,3.8869,Sadness,1.5,2.0,1.5,0.7071,0.0,0.7071,0.4714,3,"[2, 1, 2]","[2, 2, 3]","[1, 2, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F009,16,F,like you sign up because you need money and,91.55,95.88,4.33,Unknown,1.5,1.5,2.0,0.7071,0.7071,1.4142,0.9428,3,"[2, 1, 2]","[1, 2, 3]","[1, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F010,17,F,things just aren't what they seem.,97.94,102.19,4.25,Sadness,2.0,1.5,2.0,0.0,0.7071,1.4142,0.7071,3,"[2, 2, 2]","[1, 2, 2]","[1, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M007,18,M,This is a stupid war.,103.27,107.1,3.83,Unknown,2.0,3.0,2.5,0.0,0.0,0.7071,0.2357,3,"[2, 2, 1]","[3, 3, 3]","[2, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F011,19,F,"We're doing the right thing, though.",107.68,111.0153,3.3353,Unknown,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 3]","[2, 3, 2]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M008,20,M,I know.,110.5653,113.2,2.6347,Frustration,2.5,1.5,2.0,0.7071,0.7071,1.4142,0.9428,3,"[3, 2, 2]","[1, 2, 3]","[1, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M009,21,M,I just don't see why it has to be you.,114.1775,117.85,3.6725,Sadness,2.0,1.5,2.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[1, 2, 2]","[2, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F012,22,F,"If not me then, who?",117.83,120.8605,3.0305,Sadness,3.5,2.0,1.5,0.7071,0.0,0.7071,0.4714,3,"[3, 4, 3]","[2, 2, 3]","[1, 2, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M010,23,M,What am I going to do? Huh?,120.4105,124.63,4.2195,Sadness,2.0,2.0,1.5,0.0,1.4142,0.7071,0.7071,3,"[2, 2, 2]","[1, 3, 2]","[1, 2, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F013,24,F,"You'll videotape everything, yeah?",127.82,133.9455,6.1255,Sadness,1.5,2.0,2.0,0.7071,0.0,1.4142,0.7071,3,"[2, 1, 1]","[2, 2, 4]","[1, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M011,25,M,Yeah.,133.88,137.1,3.22,Sadness,2.5,1.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 2]","[1, 2, 2]","[2, 3, 1]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F014,26,F,"Maybe you can send it to me, like stream it, yeah?",139.03,146.43,7.4,Sadness,1.5,2.0,2.0,0.7071,0.0,1.4142,0.7071,3,"[2, 1, 1]","[2, 2, 3]","[1, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M012,27,M,Don't you guys have access to computers over there.,147.03,151.7101,4.6801,Neutral,2.5,2.0,2.0,0.7071,0.0,1.4142,0.7071,3,"[3, 2, 1]","[2, 2, 2]","[1, 3, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F015,28,F,Last month--  Yeah.,151.4221,155.01,3.5879,Sadness,2.0,2.5,2.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 1]","[2, 3, 3]","[2, 3, 3]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M013,29,M,I just don't know how I'm going to do it without you.,157.98,162.71,4.73,Sadness,1.5,2.0,2.0,0.7071,0.0,1.4142,0.7071,3,"[2, 1, 1]","[2, 2, 2]","[1, 3, 1]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F016,30,F,I have to find sitters.,163.54,165.73,2.19,Neutral,2.0,1.0,2.5,0.0,0.0,0.7071,0.2357,3,"[2, 2, 2]","[1, 1, 2]","[2, 3, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M014,31,M,I can't raise a baby by myself.  How?,164.885,169.5,4.615,Sadness,1.5,3.0,1.5,0.7071,0.0,0.7071,0.4714,3,"[2, 1, 1]","[3, 3, 2]","[2, 1, 1]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F017,32,F,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",169.36,176.015,6.655,Sadness,3.5,3.0,2.5,0.7071,1.4142,0.7071,0.9428,3,"[3, 4, 4]","[2, 4, 4]","[2, 3, 5]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M015,33,M,I know.,175.47,176.72,1.25,Neutral,3.0,3.0,1.5,0.0,1.4142,0.7071,0.7071,3,"[3, 3, 2]","[2, 4, 2]","[1, 2, 2]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F018,34,F,And your mother is close by.,176.08,179.13,3.05,Neutral,2.5,2.5,2.5,0.7071,0.7071,0.7071,0.7071,3,"[3, 2, 3]","[2, 3, 3]","[2, 3, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F019,35,F,I'll send you lots of letters.,182.83,185.8894,3.0594,Sadness,2.5,1.5,2.0,0.7071,0.7071,1.4142,0.9428,3,"[3, 2, 2]","[1, 2, 2]","[1, 3, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_F020,36,F,And I want lots and lots and lots of pictures.,186.58,191.11,4.53,Sadness,4.0,2.0,2.5,0.0,0.0,0.7071,0.2357,3,"[4, 4, 2]","[2, 2, 3]","[2, 3, 4]"
Ses01F_impro02,01,improvis,Ses01F_impro02_M016,37,M,It's just not fair.,195.1047,199.52,4.4153,Frustration,2.0,1.5,2.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[1, 2, 2]","[2, 3, 1]"
Ses01F_impro03,01,improvis,Ses01F_impro03_M000,0,M,So what's up?  What's new?,3.24,5.46,2.22,Neutral,4.0,3.0,2.6667,0.0,1.0,0.5774,0.5257999999999999,4,"[4, 4, 4, 4]","[3, 4, 2, 3]","[3, 3, 2, 2]"
Ses01F_impro03,01,improvis,Ses01F_impro03_F000,1,F,Well Vegas was awesome.,4.88,7.74,2.86,Happiness,4.3333,2.6667,2.6667,0.5774,0.5774,0.5774,0.5774,4,"[4, 5, 4, 5]","[3, 3, 2, 4]","[3, 3, 2, 4]"
Ses01F_impro03,01,improvis,Ses01F_impro03_M001,2,M,Yeah.  I heard.,6.6,8.66,2.06,Neutral,4.3333,2.6667,2.3333,0.5774,0.5774,1.1547,0.7698333333333333,4,"[4, 5, 4, 4]","[3, 3, 2, 3]","[3, 3, 1, 2]"
