dialogue_id,session,category,turn_id,turn_index,speaker,content,start_time,end_time,duration,primary_emotion_label,valence,arousal,dominance,valence_std,arousal_std,dominance_std,avg_vad_std,num_vad_annotators,annotator_valences,annotator_arousals,annotator_dominances
Ses01F_impro01,01,improvis,Ses01F_impro01_M000,1,M,Do you have your forms?,7.5712,10.475,2.9038,Frustration,2.5,2.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 2]","[2, 2, 2]","[2, 3, 2]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M001,3,M,Let me see them.,10.9266,14.6649,3.7383,Frustration,2.5,2.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 2]","[2, 2, 2]","[2, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M002,5,M,Who told you to get in this line?,16.8352,19.7175,2.8823,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F003,6,F,You did.,19.29,20.7875,1.4975,Unknown,2.5,3.0,3.0,0.7071,0.0,0.0,0.2357,3,"[3, 2, 2]","[3, 3, 3]","[3, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F004,7,F,You were standing at the beginning and you directed me.,21.3257,24.74,3.4143,Unknown,2.5,3.0,2.5,0.7071,0.0,0.7071,0.4714,3,"[3, 2, 3]","[3, 3, 4]","[2, 3, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F005,9,F,Well what's the problem?  Let me change it.,27.46,31.49,4.03,Neutral,2.5,3.5,2.0,0.7071,0.7071,0.0,0.4714,3,"[3, 2, 3]","[3, 4, 3]","[2, 2, 3]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M005,11,M,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",31.266,39.3875,8.1215,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F006,12,F,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,38.965,43.59,4.625,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_M006,13,M,No. I need another set of ID to prove this is actually you.,41.23,46.98,5.75,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 3]","[3, 4, 4]"
Ses01F_impro01,01,improvis,Ses01F_impro01_F008,16,F,I'm here to get an ID.,56.16,58.8225,2.6625,Frustration,2.0,3.5,3.5,0.0,0.7071,0.7071,0.4714,3,"[2, 2, 2]","[3, 4, 4]","[3, 4, 4]"
